model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,model_kwargs.lm_freeze_layer_count,max_slice_length,padding,hp_combination,finished_at,pos_weight_factor,task_kwargs.criterion,task_kwargs.focal_loss_gamma,task_kwargs.focal_loss_alpha
esm-t33-gearnet,0,0.6688,0.674,0.5994,0.7754,0.9172,0.6923,-1.0,29.0,400.0,25.0,0,2024-09-11 17:26:52,,,,
esm-t33-gearnet,0,0.627,0.6513,0.6009,0.6876,0.9072,0.6874,-2.4,29.0,400.0,50.0,1,2024-09-11 17:42:17,,,,
esm-t33-gearnet,0,0.6493,0.6642,0.5801,0.7578,0.9111,0.6819,-1.4,29.0,400.0,75.0,2,2024-09-11 17:58:12,,,,
esm-t33-gearnet,0,0.6584,0.68,0.6246,0.7246,0.9164,0.6941,-2.9,29.0,500.0,25.0,3,2024-09-11 18:15:18,,,,
esm-t33-gearnet,0,0.6582,0.6687,0.5905,0.7639,0.91,0.6914,-1.9,29.0,500.0,50.0,4,2024-09-12 11:44:36,,,,
esm-t33-gearnet,0,0.6597,0.675,0.6157,0.7371,0.9056,0.6969,-2.7,29.0,500.0,75.0,5,2024-09-12 12:01:54,,,,
esm-t33-gearnet,0,0.6414,0.6595,0.6068,0.7101,0.928,0.6918,-2.7,29.0,600.0,25.0,6,2024-09-12 15:56:41,,,,
esm-t33-gearnet,0,0.6517,0.6659,0.638,0.6969,0.9228,0.6941,-3.0,29.0,600.0,50.0,7,2024-09-12 16:13:39,,,,
esm-t33-gearnet,0,0.6679,0.6807,0.6246,0.7438,0.9138,0.6864,-3.0,29.0,600.0,75.0,8,2024-09-12 16:30:31,,,,
esm-t33-gearnet,0,0.6508,0.6797,0.5831,0.7572,0.9185,0.6781,-2.1,30.0,400.0,25.0,9,2024-09-12 16:46:50,,,,
esm-t33-gearnet,0,0.6557,0.6774,0.5861,0.764,0.913,0.6799,-2.2,30.0,400.0,50.0,10,2024-09-12 17:03:36,,,,
esm-t33-gearnet,0,0.6546,0.6792,0.6261,0.7153,0.9182,0.6702,-3.0,30.0,400.0,75.0,11,2024-09-12 17:19:55,,,,
esm-t33-gearnet,0,0.6495,0.6594,0.6024,0.7315,0.918,0.667,-2.9,30.0,500.0,25.0,12,2024-09-12 17:35:47,,,,
esm-t33-gearnet,0,0.6616,0.6778,0.6291,0.726,0.9063,0.6862,-3.0,30.0,500.0,50.0,13,2024-09-12 17:52:42,,,,
esm-t33-gearnet,0,0.6576,0.6601,0.6083,0.7414,0.9126,0.6732,-3.0,30.0,500.0,75.0,14,2024-09-12 18:09:54,,,,
esm-t33-gearnet,0,0.6463,0.658,0.6024,0.725,0.9084,0.6717,-3.0,30.0,600.0,25.0,15,2024-09-12 18:24:46,,,,
esm-t33-gearnet,0,0.6587,0.6844,0.595,0.7595,0.9311,0.686,-0.7,30.0,600.0,50.0,16,2024-09-12 18:39:01,,,,
esm-t33-gearnet,0,0.6525,0.657,0.5816,0.7626,0.8933,0.6694,-1.5,30.0,600.0,75.0,17,2024-09-12 18:53:35,,,,
esm-t33-gearnet,0,0.6537,0.6813,0.5727,0.7767,0.9141,0.6819,-0.8,31.0,400.0,25.0,18,2024-09-12 19:07:13,,,,
esm-t33-gearnet,0,0.6448,0.668,0.5786,0.75,0.9129,0.6551,-2.2,31.0,400.0,50.0,19,2024-09-12 19:20:46,,,,
esm-t33-gearnet,0,0.6386,0.6544,0.5757,0.7405,0.9022,0.663,-2.1,31.0,400.0,75.0,20,2024-09-12 19:34:52,,,,
esm-t33-gearnet,0,0.6502,0.6775,0.5979,0.7381,0.9202,0.6784,-2.7,31.0,500.0,25.0,21,2024-09-12 19:48:14,,,,
esm-t33-gearnet,0,0.6466,0.6837,0.6157,0.7106,0.9308,0.6731,-2.8,31.0,500.0,50.0,22,2024-09-12 20:01:38,,,,
esm-t33-gearnet,0,0.6413,0.6777,0.6024,0.7148,0.918,0.6834,-2.5,31.0,500.0,75.0,23,2024-09-12 20:15:24,,,,
esm-t33-gearnet,0,0.6493,0.6732,0.5875,0.7486,0.9034,0.6693,-2.8,31.0,600.0,25.0,24,2024-09-12 20:29:49,,,,
esm-t33-gearnet,0,0.6472,0.6601,0.6009,0.7284,0.9131,0.6711,-2.9,31.0,600.0,50.0,25,2024-09-12 20:43:52,,,,
esm-t33-gearnet,0,0.6451,0.6594,0.6024,0.7224,0.9094,0.6515,-2.7,31.0,600.0,75.0,26,2024-09-12 20:58:08,,,,
esm-t33-gearnet,1,0.6684,0.6803,0.6335,0.7349,0.9268,0.6111,-0.9,29.0,400.0,25.0,0,2024-09-12 21:12:06,,,,
esm-t33-gearnet,1,0.669,0.6811,0.6261,0.7443,0.9236,0.6077,-1.7,29.0,400.0,50.0,1,2024-09-12 21:26:01,,,,
esm-t33-gearnet,1,0.6725,0.6808,0.6543,0.7206,0.9181,0.614,-3.0,29.0,400.0,75.0,2,2024-09-12 21:40:17,,,,
esm-t33-gearnet,1,0.6966,0.6928,0.6499,0.7739,0.9204,0.6154,-2.7,29.0,500.0,25.0,3,2024-09-12 21:54:10,,,,
esm-t33-gearnet,1,0.6719,0.6798,0.6202,0.7572,0.9118,0.6089,-2.9,29.0,500.0,50.0,4,2024-09-12 22:08:23,,,,
esm-t33-gearnet,1,0.6674,0.6727,0.632,0.7345,0.9119,0.6028,-2.2,29.0,500.0,75.0,5,2024-09-12 22:22:35,,,,
esm-t33-gearnet,1,0.6839,0.6837,0.6558,0.7416,0.8997,0.605,-2.6,29.0,600.0,25.0,6,2024-09-12 22:37:01,,,,
esm-t33-gearnet,1,0.6649,0.6713,0.6276,0.7344,0.9205,0.6069,-2.6,29.0,600.0,50.0,7,2024-09-12 22:51:39,,,,
esm-t33-gearnet,1,0.6776,0.6623,0.6039,0.7888,0.9058,0.6023,-0.5,29.0,600.0,75.0,8,2024-09-12 23:06:29,,,,
esm-t33-gearnet,1,0.6654,0.6785,0.6128,0.7523,0.9106,0.6043,-2.5,30.0,400.0,25.0,9,2024-09-12 23:20:11,,,,
esm-t33-gearnet,1,0.6711,0.6818,0.6558,0.7164,0.9134,0.6004,-2.9,30.0,400.0,50.0,10,2024-09-12 23:34:13,,,,
esm-t33-gearnet,1,0.6839,0.6916,0.6306,0.7699,0.9227,0.6157,-1.6,30.0,400.0,75.0,11,2024-09-12 23:48:19,,,,
esm-t33-gearnet,1,0.6761,0.6901,0.6261,0.759,0.9239,0.5955,-2.2,30.0,500.0,25.0,12,2024-09-13 00:01:56,,,,
esm-t33-gearnet,1,0.672,0.684,0.6484,0.7259,0.9244,0.5935,-3.0,30.0,500.0,50.0,13,2024-09-13 00:15:42,,,,
esm-t33-gearnet,1,0.6765,0.6642,0.6113,0.7774,0.9013,0.6027,-2.6,30.0,500.0,75.0,14,2024-09-13 00:29:36,,,,
esm-t33-gearnet,1,0.6688,0.6775,0.5994,0.7754,0.9101,0.5998,-2.3,30.0,600.0,25.0,15,2024-09-13 00:44:04,,,,
esm-t33-gearnet,1,0.6805,0.6904,0.6454,0.7461,0.9139,0.6154,-2.2,30.0,600.0,50.0,16,2024-09-13 00:58:22,,,,
esm-t33-gearnet,1,0.6887,0.6947,0.6573,0.7496,0.9223,0.6057,-2.5,30.0,600.0,75.0,17,2024-09-13 01:13:10,,,,
esm-t33-gearnet,1,0.6812,0.6958,0.6276,0.7677,0.9221,0.5913,-1.3,31.0,400.0,25.0,18,2024-09-13 01:26:47,,,,
esm-t33-gearnet,1,0.6499,0.6627,0.6039,0.7307,0.9211,0.581,-1.5,31.0,400.0,50.0,19,2024-09-13 01:40:42,,,,
esm-t33-gearnet,1,0.6588,0.6885,0.6217,0.7287,0.9247,0.5926,-3.0,31.0,400.0,75.0,20,2024-09-13 01:54:47,,,,
esm-t33-gearnet,1,0.6763,0.6929,0.5772,0.8207,0.9237,0.5913,0.1,31.0,500.0,25.0,21,2024-09-13 02:08:21,,,,
esm-t33-gearnet,1,0.669,0.6822,0.5786,0.8025,0.9231,0.5861,-0.4,31.0,500.0,50.0,22,2024-09-13 02:21:59,,,,
esm-t33-gearnet,1,0.6689,0.6922,0.635,0.7341,0.9222,0.596,-3.0,31.0,500.0,75.0,23,2024-09-13 02:35:50,,,,
esm-t33-gearnet,1,0.6819,0.6987,0.6039,0.798,0.9254,0.5894,-0.1,31.0,600.0,25.0,24,2024-09-13 02:50:14,,,,
esm-t33-gearnet,1,0.662,0.6785,0.6024,0.7575,0.9117,0.5989,-2.4,31.0,600.0,50.0,25,2024-09-13 03:04:47,,,,
esm-t33-gearnet,1,0.6662,0.6692,0.6083,0.7593,0.9118,0.6028,-1.6,31.0,600.0,75.0,26,2024-09-13 03:19:15,,,,
esm-t33-gearnet,2,0.6717,0.6639,0.6113,0.7672,0.9039,0.6046,-3.0,29.0,400.0,25.0,0,2024-09-13 03:33:23,,,,
esm-t33-gearnet,2,0.6742,0.6849,0.6335,0.7465,0.9146,0.618,-1.8,29.0,400.0,50.0,1,2024-09-13 03:47:48,,,,
esm-t33-gearnet,2,0.6843,0.6953,0.635,0.7657,0.9264,0.612,-1.5,29.0,400.0,75.0,2,2024-09-13 04:02:10,,,,
esm-t33-gearnet,2,0.6871,0.705,0.6558,0.7479,0.929,0.6197,-2.8,29.0,500.0,25.0,3,2024-09-13 04:15:58,,,,
esm-t33-gearnet,2,0.6713,0.6834,0.6202,0.7559,0.9201,0.6112,-2.6,29.0,500.0,50.0,4,2024-09-13 04:29:58,,,,
esm-t33-gearnet,2,0.6742,0.6845,0.6157,0.7671,0.9115,0.6248,-1.9,29.0,500.0,75.0,5,2024-09-13 04:43:58,,,,
esm-t33-gearnet,2,0.6872,0.6827,0.6439,0.7614,0.9159,0.6136,-1.5,29.0,600.0,25.0,6,2024-09-13 04:58:19,,,,
esm-t33-gearnet,2,0.6826,0.6852,0.6335,0.7639,0.919,0.6329,-2.5,29.0,600.0,50.0,7,2024-09-13 05:13:00,,,,
esm-t33-gearnet,2,0.6871,0.7062,0.6142,0.7962,0.9323,0.6204,-3.0,29.0,600.0,75.0,8,2024-09-13 05:27:35,,,,
esm-t33-gearnet,2,0.6864,0.6957,0.635,0.7698,0.9253,0.6098,-0.6,30.0,400.0,25.0,9,2024-09-13 05:41:23,,,,
esm-t33-gearnet,2,0.6847,0.6812,0.6068,0.8004,0.9099,0.6104,-2.3,30.0,400.0,50.0,10,2024-09-13 05:55:31,,,,
esm-t33-gearnet,2,0.6765,0.6956,0.6142,0.7738,0.9246,0.6152,-2.0,30.0,400.0,75.0,11,2024-09-13 06:09:55,,,,
esm-t33-gearnet,2,0.6865,0.6898,0.6513,0.7517,0.9173,0.6205,-2.8,30.0,500.0,25.0,12,2024-09-13 06:23:45,,,,
esm-t33-gearnet,2,0.6776,0.6916,0.6128,0.7778,0.9247,0.6092,-2.1,30.0,500.0,50.0,13,2024-09-13 06:37:48,,,,
esm-t33-gearnet,2,0.6683,0.6822,0.6113,0.7601,0.9067,0.6002,-2.9,30.0,500.0,75.0,14,2024-09-13 06:51:52,,,,
esm-t33-gearnet,2,0.6652,0.6832,0.6217,0.7416,0.9233,0.6312,-1.1,30.0,600.0,25.0,15,2024-09-13 07:06:15,,,,
esm-t33-gearnet,2,0.6821,0.6836,0.6172,0.782,0.9377,0.6266,-1.6,30.0,600.0,50.0,16,2024-09-13 07:20:58,,,,
esm-t33-gearnet,2,0.6752,0.6838,0.6142,0.7709,0.9149,0.6044,-2.1,30.0,600.0,75.0,17,2024-09-13 07:35:39,,,,
esm-t33-gearnet,2,0.6829,0.6869,0.632,0.7662,0.9191,0.618,-3.0,31.0,400.0,25.0,18,2024-09-13 07:49:14,,,,
esm-t33-gearnet,2,0.6666,0.687,0.6335,0.7312,0.9258,0.6067,-2.9,31.0,400.0,50.0,19,2024-09-13 08:02:58,,,,
esm-t33-gearnet,2,0.6678,0.6984,0.6291,0.7387,0.9264,0.6125,-2.5,31.0,400.0,75.0,20,2024-09-13 08:17:22,,,,
esm-t33-gearnet,2,0.6678,0.6988,0.6039,0.7679,0.9173,0.6116,-0.8,31.0,500.0,25.0,21,2024-09-13 08:30:48,,,,
esm-t33-gearnet,2,0.6814,0.6902,0.6365,0.758,0.9238,0.6159,-3.0,31.0,500.0,50.0,22,2024-09-13 08:44:22,,,,
esm-t33-gearnet,2,0.6729,0.6874,0.6187,0.7609,0.9297,0.6097,-3.0,31.0,500.0,75.0,23,2024-09-13 08:58:09,,,,
esm-t33-gearnet,2,0.6724,0.6888,0.6409,0.7347,0.9191,0.6325,-3.0,31.0,600.0,25.0,24,2024-09-13 09:12:31,,,,
esm-t33-gearnet,2,0.6619,0.6676,0.6098,0.7486,0.9164,0.6191,-3.0,31.0,600.0,50.0,25,2024-09-13 09:26:48,,,,
esm-t33-gearnet,2,0.671,0.6766,0.6083,0.7692,0.9165,0.6065,-2.6,31.0,600.0,75.0,26,2024-09-13 09:41:08,,,,
esm-t33-gearnet,3,0.6639,0.6635,0.635,0.7242,0.9252,0.677,-2.8,29.0,400.0,25.0,0,2024-09-13 09:55:20,,,,
esm-t33-gearnet,3,0.6634,0.6768,0.6053,0.757,0.9171,0.674,-0.6,29.0,400.0,50.0,1,2024-09-13 10:09:39,,,,
esm-t33-gearnet,3,0.6767,0.6787,0.6335,0.7518,0.925,0.6853,-2.2,29.0,400.0,75.0,2,2024-09-13 10:24:07,,,,
esm-t33-gearnet,3,0.6749,0.693,0.6454,0.7348,0.9228,0.6837,-3.0,29.0,500.0,25.0,3,2024-09-13 10:37:51,,,,
esm-t33-gearnet,3,0.6723,0.6691,0.6053,0.7757,0.9159,0.6838,-1.9,29.0,500.0,50.0,4,2024-09-13 10:51:58,,,,
esm-t33-gearnet,3,0.6777,0.6986,0.6395,0.747,0.9307,0.6891,-1.7,29.0,500.0,75.0,5,2024-09-13 11:06:11,,,,
esm-t33-gearnet,3,0.6807,0.6897,0.595,0.8068,0.9266,0.6941,0.8,29.0,600.0,25.0,6,2024-09-13 11:21:45,,,,
esm-t33-gearnet,3,0.663,0.6882,0.6113,0.7491,0.9242,0.684,-1.6,29.0,600.0,50.0,7,2024-09-13 11:36:20,,,,
esm-t33-gearnet,3,0.6835,0.688,0.6261,0.7743,0.9242,0.6899,-1.5,29.0,600.0,75.0,8,2024-09-13 11:50:53,,,,
esm-t33-gearnet,3,0.6605,0.6798,0.6231,0.7304,0.9289,0.6738,-1.8,30.0,400.0,25.0,9,2024-09-13 12:04:41,,,,
esm-t33-gearnet,3,0.68,0.6866,0.6142,0.7811,0.9247,0.6792,-1.5,30.0,400.0,50.0,10,2024-09-13 12:18:48,,,,
esm-t33-gearnet,3,0.6675,0.6746,0.6157,0.7532,0.9247,0.6883,-1.8,30.0,400.0,75.0,11,2024-09-13 12:33:13,,,,
esm-t33-gearnet,3,0.6685,0.6715,0.6172,0.7536,0.9174,0.6929,-2.2,30.0,500.0,25.0,12,2024-09-13 12:46:55,,,,
esm-t33-gearnet,3,0.6852,0.6939,0.6217,0.7832,0.9329,0.6897,-0.5,30.0,500.0,50.0,13,2024-09-13 13:00:39,,,,
esm-t33-gearnet,3,0.6728,0.6688,0.6261,0.7522,0.9252,0.6983,-0.9,30.0,500.0,75.0,14,2024-09-13 13:14:42,,,,
esm-t33-gearnet,3,0.6516,0.6809,0.6053,0.7325,0.9179,0.6969,-1.9,30.0,600.0,25.0,15,2024-09-13 13:28:58,,,,
esm-t33-gearnet,3,0.6752,0.6788,0.5964,0.7929,0.9213,0.6794,-0.4,30.0,600.0,50.0,16,2024-09-13 13:43:25,,,,
esm-t33-gearnet,3,0.6472,0.6723,0.6217,0.7054,0.9276,0.6986,-1.9,30.0,600.0,75.0,17,2024-09-13 13:58:08,,,,
esm-t33-gearnet,3,0.6683,0.6835,0.6187,0.7514,0.9305,0.6739,-2.9,31.0,400.0,25.0,18,2024-09-13 14:14:00,,,,
esm-t33-gearnet,3,0.6671,0.6833,0.5801,0.7963,0.9271,0.6677,0.0,31.0,400.0,50.0,19,2024-09-13 14:28:11,,,,
esm-t33-gearnet,3,0.6623,0.6746,0.6009,0.7598,0.9266,0.6766,-0.7,31.0,400.0,75.0,20,2024-09-13 14:43:54,,,,
esm-t33-gearnet,3,0.6691,0.6905,0.6009,0.7744,0.9291,0.6874,-0.2,31.0,500.0,25.0,21,2024-09-13 14:58:34,,,,
esm-t33-gearnet,3,0.6717,0.6928,0.6217,0.755,0.9307,0.6832,-1.9,31.0,500.0,50.0,22,2024-09-13 15:13:31,,,,
esm-t33-gearnet,3,0.6657,0.6701,0.6306,0.7328,0.9235,0.6906,-1.6,31.0,500.0,75.0,23,2024-09-13 15:27:24,,,,
esm-t33-gearnet,3,0.6672,0.6726,0.6172,0.7509,0.926,0.6877,-1.6,31.0,600.0,25.0,24,2024-09-13 15:43:04,,,,
esm-t33-gearnet,3,0.6524,0.6805,0.5964,0.7444,0.9238,0.6819,-1.7,31.0,600.0,50.0,25,2024-09-13 15:57:29,,,,
esm-t33-gearnet,3,0.6483,0.6673,0.5682,0.7706,0.9235,0.68,-1.3,31.0,600.0,75.0,26,2024-09-13 16:11:30,,,,
esm-t33-gearnet,4,0.654,0.6868,0.6157,0.7255,0.9258,0.6511,-0.9,29.0,400.0,25.0,0,2024-09-13 16:25:30,,,,
esm-t33-gearnet,4,0.6573,0.6694,0.6024,0.7477,0.9242,0.6578,-0.7,29.0,400.0,50.0,1,2024-09-13 16:39:34,,,,
esm-t33-gearnet,4,0.674,0.6931,0.6231,0.7581,0.93,0.6532,-2.1,29.0,400.0,75.0,2,2024-09-13 16:54:06,,,,
esm-t33-gearnet,4,0.6619,0.6781,0.6484,0.706,0.9254,0.674,-2.1,29.0,500.0,25.0,3,2024-09-13 17:07:46,,,,
esm-t33-gearnet,4,0.6753,0.674,0.6202,0.7642,0.915,0.6481,-3.0,29.0,500.0,50.0,4,2024-09-13 17:21:39,,,,
esm-t33-gearnet,4,0.6519,0.6566,0.5623,0.7863,0.9028,0.6443,-1.6,29.0,500.0,75.0,5,2024-09-13 17:35:58,,,,
esm-t33-gearnet,4,0.6454,0.6659,0.595,0.7318,0.9184,0.6507,-2.3,29.0,600.0,25.0,6,2024-09-13 17:50:12,,,,
esm-t33-gearnet,4,0.667,0.6936,0.6261,0.7404,0.9169,0.6695,-2.7,29.0,600.0,50.0,7,2024-09-13 18:04:37,,,,
esm-t33-gearnet,4,0.6836,0.681,0.6291,0.7709,0.9253,0.6594,-0.9,29.0,600.0,75.0,8,2024-09-13 18:19:26,,,,
esm-t33-gearnet,4,0.6712,0.6846,0.6039,0.7752,0.9222,0.6577,-1.3,30.0,400.0,25.0,9,2024-09-13 18:33:15,,,,
esm-t33-gearnet,4,0.6725,0.6827,0.632,0.7448,0.9233,0.6638,-2.5,30.0,400.0,50.0,10,2024-09-13 18:47:09,,,,
esm-t33-gearnet,4,0.656,0.68,0.595,0.7538,0.9273,0.6582,-1.5,30.0,400.0,75.0,11,2024-09-13 19:01:31,,,,
esm-t33-gearnet,4,0.6481,0.6824,0.6128,0.717,0.9254,0.6546,-2.9,30.0,500.0,25.0,12,2024-09-13 19:15:15,,,,
esm-t33-gearnet,4,0.6799,0.6828,0.6306,0.7616,0.9182,0.6511,-2.7,30.0,500.0,50.0,13,2024-09-13 19:28:57,,,,
esm-t33-gearnet,4,0.6582,0.6729,0.6217,0.7274,0.924,0.6645,-2.5,30.0,500.0,75.0,14,2024-09-13 19:42:49,,,,
esm-t33-gearnet,4,0.674,0.6822,0.6306,0.7496,0.9122,0.6564,-2.8,30.0,600.0,25.0,15,2024-09-13 19:57:05,,,,
esm-t33-gearnet,4,0.6697,0.6693,0.6142,0.7596,0.9126,0.6619,-1.4,30.0,600.0,50.0,16,2024-09-13 20:11:19,,,,
esm-t33-gearnet,4,0.6582,0.6531,0.6128,0.7375,0.9044,0.6493,-2.7,30.0,600.0,75.0,17,2024-09-13 20:25:36,,,,
esm-t33-gearnet,4,0.6624,0.6854,0.6276,0.7293,0.9254,0.6409,-3.0,31.0,400.0,25.0,18,2024-09-13 20:39:19,,,,
esm-t33-gearnet,4,0.67,0.6764,0.6276,0.7447,0.9232,0.6526,-2.3,31.0,400.0,50.0,19,2024-09-13 20:53:19,,,,
